date,scope,category,activity,quantity,unit,emission_factor
2024-02-29,Scope 2,Purchased Electricity,State Grid,455.18416445511644,kWh,0.716
2024-03-01,Scope 2,Purchased Electricity,State Grid,638.5783939780337,kWh,0.716
2024-03-01,Scope 3,Waste Generated,Mixed Municipal Waste,78.41135070863575,kg,0.45
2024-03-01,Scope 3,Waste Generated,Scrap Metal & Cardboard,58.709283021893675,kg,0.02
2024-03-02,Scope 2,Purchased Electricity,State Grid,605.332861216441,kWh,0.716
2024-03-02,Scope 1,Mobile Combustion,Delivery Truck (Diesel),39.21724896869072,Liter,2.68
2024-03-02,Scope 1,Mobile Combustion,Company Cars (Petrol),25.121092945227982,Liter,2.31
2024-03-03,Scope 2,Purchased Electricity,State Grid,578.2168336549126,kWh,0.716
2024-03-04,Scope 2,Purchased Electricity,State Grid,563.7625822388809,kWh,0.716
2024-03-05,Scope 2,Purchased Electricity,State Grid,609.6942486699679,kWh,0.716
2024-03-06,Scope 2,Purchased Electricity,State Grid,622.6165029362546,kWh,0.716
2024-03-07,Scope 2,Purchased Electricity,State Grid,555.2590666649147,kWh,0.716
2024-03-08,Scope 2,Purchased Electricity,State Grid,642.8387905910038,kWh,0.716
2024-03-08,Scope 3,Waste Generated,Mixed Municipal Waste,95.23746717501241,kg,0.45
2024-03-08,Scope 3,Waste Generated,Scrap Metal & Cardboard,53.88676189728082,kg,0.02
2024-03-09,Scope 2,Purchased Electricity,State Grid,607.355974329988,kWh,0.716
2024-03-09,Scope 1,Mobile Combustion,Delivery Truck (Diesel),41.10756077485246,Liter,2.68
2024-03-09,Scope 1,Mobile Combustion,Company Cars (Petrol),25.89616544179772,Liter,2.31
2024-03-10,Scope 2,Purchased Electricity,State Grid,656.5341965409523,kWh,0.716
2024-03-10,Scope 1,Stationary Combustion,DG Set (Diesel),20.00350283175726,Liter,2.68
2024-03-11,Scope 2,Purchased Electricity,State Grid,637.402259282688,kWh,0.716
2024-03-12,Scope 2,Purchased Electricity,State Grid,624.4103173201523,kWh,0.716
2024-03-13,Scope 2,Purchased Electricity,State Grid,531.4867423442669,kWh,0.716
2024-03-14,Scope 2,Purchased Electricity,State Grid,629.9184703715382,kWh,0.716
2024-03-15,Scope 2,Purchased Electricity,State Grid,665.0937435643169,kWh,0.716
2024-03-15,Scope 3,Waste Generated,Mixed Municipal Waste,94.3486780432791,kg,0.45
2024-03-15,Scope 3,Waste Generated,Scrap Metal & Cardboard,54.43314147556156,kg,0.02
2024-03-15,Scope 1,Fugitive Emissions,AC Refrigerant (R-32),1.53992478454622,kg,675.0
2024-03-16,Scope 2,Purchased Electricity,State Grid,641.8855239744756,kWh,0.716
2024-03-16,Scope 1,Mobile Combustion,Delivery Truck (Diesel),34.95347057993918,Liter,2.68
2024-03-16,Scope 1,Mobile Combustion,Company Cars (Petrol),22.255122520331515,Liter,2.31
2024-03-17,Scope 2,Purchased Electricity,State Grid,611.9084794836215,kWh,0.716
2024-03-18,Scope 2,Purchased Electricity,State Grid,648.740882070467,kWh,0.716
2024-03-19,Scope 2,Purchased Electricity,State Grid,629.8342162903201,kWh,0.716
2024-03-20,Scope 2,Purchased Electricity,State Grid,579.346971237714,kWh,0.716
2024-03-21,Scope 2,Purchased Electricity,State Grid,583.3190493943845,kWh,0.716
2024-03-22,Scope 2,Purchased Electricity,State Grid,632.4974739716672,kWh,0.716
2024-03-22,Scope 1,Stationary Combustion,DG Set (Diesel),12.133567502921064,Liter,2.68
2024-03-22,Scope 3,Waste Generated,Mixed Municipal Waste,66.74256915461027,kg,0.45
2024-03-22,Scope 3,Waste Generated,Scrap Metal & Cardboard,44.46224954800351,kg,0.02
2024-03-23,Scope 2,Purchased Electricity,State Grid,572.5403792354332,kWh,0.716
2024-03-23,Scope 1,Mobile Combustion,Delivery Truck (Diesel),47.40243847248394,Liter,2.68
2024-03-23,Scope 1,Mobile Combustion,Company Cars (Petrol),30.968856309004035,Liter,2.31
2024-03-24,Scope 2,Purchased Electricity,State Grid,584.7293623808,kWh,0.716
2024-03-25,Scope 2,Purchased Electricity,State Grid,623.0138303838232,kWh,0.716
2024-03-26,Scope 2,Purchased Electricity,State Grid,560.25707616503,kWh,0.716
2024-03-27,Scope 2,Purchased Electricity,State Grid,525.2604236162323,kWh,0.716
2024-03-28,Scope 2,Purchased Electricity,State Grid,551.728894527508,kWh,0.716
2024-03-29,Scope 2,Purchased Electricity,State Grid,569.4750810318258,kWh,0.716
2024-03-29,Scope 3,Waste Generated,Mixed Municipal Waste,69.68127283358584,kg,0.45
2024-03-29,Scope 3,Waste Generated,Scrap Metal & Cardboard,47.8048809505011,kg,0.02
2024-03-30,Scope 2,Purchased Electricity,State Grid,643.5949882959547,kWh,0.716
2024-03-30,Scope 1,Mobile Combustion,Delivery Truck (Diesel),29.879009723985952,Liter,2.68
2024-03-30,Scope 1,Mobile Combustion,Company Cars (Petrol),27.11753506801483,Liter,2.31
2024-03-31,Scope 2,Purchased Electricity,State Grid,519.23230447926,kWh,0.716
2024-04-01,Scope 2,Purchased Electricity,State Grid,668.5028824347153,kWh,0.716
2024-04-02,Scope 2,Purchased Electricity,State Grid,605.1237545012585,kWh,0.716
2024-04-03,Scope 2,Purchased Electricity,State Grid,599.3219770653157,kWh,0.716
2024-04-04,Scope 2,Purchased Electricity,State Grid,617.8764189801274,kWh,0.716
2024-04-05,Scope 2,Purchased Electricity,State Grid,647.458713840816,kWh,0.716
2024-04-05,Scope 3,Waste Generated,Mixed Municipal Waste,82.18958059362528,kg,0.45
2024-04-05,Scope 3,Waste Generated,Scrap Metal & Cardboard,50.17417332009909,kg,0.02
2024-04-06,Scope 2,Purchased Electricity,State Grid,581.7502673911824,kWh,0.716
2024-04-06,Scope 1,Mobile Combustion,Delivery Truck (Diesel),34.262003733503654,Liter,2.68
2024-04-06,Scope 1,Mobile Combustion,Company Cars (Petrol),20.834252316059636,Liter,2.31
2024-04-07,Scope 2,Purchased Electricity,State Grid,563.3683136860392,kWh,0.716
2024-04-08,Scope 2,Purchased Electricity,State Grid,477.166270111239,kWh,0.716
2024-04-09,Scope 2,Purchased Electricity,State Grid,610.8362257774303,kWh,0.716
2024-04-10,Scope 2,Purchased Electricity,State Grid,700.5042544220894,kWh,0.716
2024-04-11,Scope 2,Purchased Electricity,State Grid,582.5483001240619,kWh,0.716
2024-04-11,Scope 1,Stationary Combustion,DG Set (Diesel),7.419884989199309,Liter,2.68
2024-04-12,Scope 2,Purchased Electricity,State Grid,599.2356839526651,kWh,0.716
2024-04-12,Scope 3,Waste Generated,Mixed Municipal Waste,82.11621623040169,kg,0.45
2024-04-12,Scope 3,Waste Generated,Scrap Metal & Cardboard,43.128756966833066,kg,0.02
2024-04-13,Scope 2,Purchased Electricity,State Grid,613.0188086032316,kWh,0.716
2024-04-13,Scope 1,Mobile Combustion,Delivery Truck (Diesel),42.18420768209596,Liter,2.68
2024-04-13,Scope 1,Mobile Combustion,Company Cars (Petrol),27.983090522693196,Liter,2.31
2024-04-14,Scope 2,Purchased Electricity,State Grid,643.3631202527724,kWh,0.716
2024-04-15,Scope 2,Purchased Electricity,State Grid,676.3009672353613,kWh,0.716
2024-04-16,Scope 2,Purchased Electricity,State Grid,599.5774173196085,kWh,0.716
2024-04-17,Scope 2,Purchased Electricity,State Grid,638.1689919978915,kWh,0.716
2024-04-18,Scope 2,Purchased Electricity,State Grid,605.0313865915192,kWh,0.716
2024-04-19,Scope 2,Purchased Electricity,State Grid,601.4410718394928,kWh,0.716
2024-04-19,Scope 3,Waste Generated,Mixed Municipal Waste,106.35390578271412,kg,0.45
2024-04-19,Scope 3,Waste Generated,Scrap Metal & Cardboard,53.7357411199078,kg,0.02
2024-04-20,Scope 2,Purchased Electricity,State Grid,620.8777197851006,kWh,0.716
2024-04-20,Scope 1,Mobile Combustion,Delivery Truck (Diesel),46.74853692680243,Liter,2.68
2024-04-20,Scope 1,Mobile Combustion,Company Cars (Petrol),24.023604767431962,Liter,2.31
2024-04-21,Scope 2,Purchased Electricity,State Grid,589.4641179749214,kWh,0.716
2024-04-21,Scope 1,Stationary Combustion,DG Set (Diesel),21.042073512084137,Liter,2.68
2024-04-22,Scope 2,Purchased Electricity,State Grid,591.8392984736279,kWh,0.716
2024-04-23,Scope 2,Purchased Electricity,State Grid,595.1022480805482,kWh,0.716
2024-04-24,Scope 2,Purchased Electricity,State Grid,629.9774428207448,kWh,0.716
2024-04-25,Scope 2,Purchased Electricity,State Grid,715.0846436850844,kWh,0.716
2024-04-26,Scope 2,Purchased Electricity,State Grid,625.1023240800349,kWh,0.716
2024-04-26,Scope 3,Waste Generated,Mixed Municipal Waste,72.93360013900949,kg,0.45
2024-04-26,Scope 3,Waste Generated,Scrap Metal & Cardboard,49.615054881497954,kg,0.02
2024-04-27,Scope 2,Purchased Electricity,State Grid,660.3698101519351,kWh,0.716
2024-04-27,Scope 1,Mobile Combustion,Delivery Truck (Diesel),37.932566493349604,Liter,2.68
2024-04-27,Scope 1,Mobile Combustion,Company Cars (Petrol),29.630273395909253,Liter,2.31
2024-04-28,Scope 2,Purchased Electricity,State Grid,535.646878778169,kWh,0.716
2024-04-29,Scope 2,Purchased Electricity,State Grid,669.3814231280528,kWh,0.716
2024-04-30,Scope 2,Purchased Electricity,State Grid,553.7521709431942,kWh,0.716
2024-04-30,Scope 1,Stationary Combustion,DG Set (Diesel),14.229147633773922,Liter,2.68
2024-05-01,Scope 2,Purchased Electricity,State Grid,614.2217123860554,kWh,0.716
2024-05-02,Scope 2,Purchased Electricity,State Grid,615.2737492476024,kWh,0.716
2024-05-02,Scope 1,Stationary Combustion,DG Set (Diesel),26.625130531596966,Liter,2.68
2024-05-03,Scope 2,Purchased Electricity,State Grid,599.8236101871763,kWh,0.716
2024-05-03,Scope 3,Waste Generated,Mixed Municipal Waste,72.41696294314067,kg,0.45
2024-05-03,Scope 3,Waste Generated,Scrap Metal & Cardboard,55.22867790146459,kg,0.02
2024-05-04,Scope 2,Purchased Electricity,State Grid,524.3120706902498,kWh,0.716
2024-05-04,Scope 1,Mobile Combustion,Delivery Truck (Diesel),47.3760036532987,Liter,2.68
2024-05-04,Scope 1,Mobile Combustion,Company Cars (Petrol),25.9159824170644,Liter,2.31
2024-05-05,Scope 2,Purchased Electricity,State Grid,611.0875958734134,kWh,0.716
2024-05-06,Scope 2,Purchased Electricity,State Grid,601.026902094652,kWh,0.716
2024-05-07,Scope 2,Purchased Electricity,State Grid,539.5668353230097,kWh,0.716
2024-05-08,Scope 2,Purchased Electricity,State Grid,585.8326234702809,kWh,0.716
2024-05-09,Scope 2,Purchased Electricity,State Grid,587.658408138614,kWh,0.716
2024-05-10,Scope 2,Purchased Electricity,State Grid,580.4294062937389,kWh,0.716
2024-05-10,Scope 1,Stationary Combustion,DG Set (Diesel),15.929799745004766,Liter,2.68
2024-05-10,Scope 3,Waste Generated,Mixed Municipal Waste,70.92964693545775,kg,0.45
2024-05-10,Scope 3,Waste Generated,Scrap Metal & Cardboard,55.58468842603781,kg,0.02
2024-05-11,Scope 2,Purchased Electricity,State Grid,616.5415286529404,kWh,0.716
2024-05-11,Scope 1,Stationary Combustion,DG Set (Diesel),10.383534250482596,Liter,2.68
2024-05-11,Scope 1,Mobile Combustion,Delivery Truck (Diesel),44.05659059544834,Liter,2.68
2024-05-11,Scope 1,Mobile Combustion,Company Cars (Petrol),23.992423490918473,Liter,2.31
2024-05-12,Scope 2,Purchased Electricity,State Grid,628.785680662237,kWh,0.716
2024-05-12,Scope 1,Stationary Combustion,DG Set (Diesel),15.661817020122813,Liter,2.68
2024-05-13,Scope 2,Purchased Electricity,State Grid,616.6461284101689,kWh,0.716
2024-05-14,Scope 2,Purchased Electricity,State Grid,579.1963500517484,kWh,0.716
2024-05-15,Scope 2,Purchased Electricity,State Grid,586.3216629238074,kWh,0.716
2024-05-16,Scope 2,Purchased Electricity,State Grid,631.4567579057665,kWh,0.716
2024-05-17,Scope 2,Purchased Electricity,State Grid,580.0936036860419,kWh,0.716
2024-05-17,Scope 3,Waste Generated,Mixed Municipal Waste,73.19586589664421,kg,0.45
2024-05-17,Scope 3,Waste Generated,Scrap Metal & Cardboard,41.77869994560403,kg,0.02
2024-05-18,Scope 2,Purchased Electricity,State Grid,665.7221410038303,kWh,0.716
2024-05-18,Scope 1,Stationary Combustion,DG Set (Diesel),14.933308945103878,Liter,2.68
2024-05-18,Scope 1,Mobile Combustion,Delivery Truck (Diesel),42.037678702706735,Liter,2.68
2024-05-18,Scope 1,Mobile Combustion,Company Cars (Petrol),23.38586526235856,Liter,2.31
2024-05-19,Scope 2,Purchased Electricity,State Grid,611.2237686496971,kWh,0.716
2024-05-19,Scope 1,Stationary Combustion,DG Set (Diesel),13.167069981302387,Liter,2.68
2024-05-20,Scope 2,Purchased Electricity,State Grid,549.225998253628,kWh,0.716
2024-05-20,Scope 1,Stationary Combustion,DG Set (Diesel),6.381104126620592,Liter,2.68
2024-05-21,Scope 2,Purchased Electricity,State Grid,648.099539628088,kWh,0.716
2024-05-22,Scope 2,Purchased Electricity,State Grid,568.2620907863584,kWh,0.716
2024-05-23,Scope 2,Purchased Electricity,State Grid,580.2301254680275,kWh,0.716
2024-05-24,Scope 2,Purchased Electricity,State Grid,588.8077313860047,kWh,0.716
2024-05-24,Scope 1,Stationary Combustion,DG Set (Diesel),6.921364472605639,Liter,2.68
2024-05-24,Scope 3,Waste Generated,Mixed Municipal Waste,70.00117707507692,kg,0.45
2024-05-24,Scope 3,Waste Generated,Scrap Metal & Cardboard,51.43709904595146,kg,0.02
2024-05-25,Scope 2,Purchased Electricity,State Grid,598.9625541469059,kWh,0.716
2024-05-25,Scope 1,Mobile Combustion,Delivery Truck (Diesel),34.273546736249656,Liter,2.68
2024-05-25,Scope 1,Mobile Combustion,Company Cars (Petrol),24.629610294480084,Liter,2.31
2024-05-26,Scope 2,Purchased Electricity,State Grid,646.5826540965421,kWh,0.716
2024-05-27,Scope 2,Purchased Electricity,State Grid,605.510089343954,kWh,0.716
2024-05-28,Scope 2,Purchased Electricity,State Grid,631.0810011920553,kWh,0.716
2024-05-28,Scope 1,Stationary Combustion,DG Set (Diesel),16.499546545136756,Liter,2.68
2024-05-29,Scope 2,Purchased Electricity,State Grid,563.4697205367381,kWh,0.716
2024-05-29,Scope 1,Stationary Combustion,DG Set (Diesel),8.44798252474429,Liter,2.68
2024-05-30,Scope 2,Purchased Electricity,State Grid,560.47211353709,kWh,0.716
2024-05-31,Scope 2,Purchased Electricity,State Grid,684.9902844370156,kWh,0.716
2024-05-31,Scope 1,Stationary Combustion,DG Set (Diesel),15.140396408792663,Liter,2.68
2024-05-31,Scope 3,Waste Generated,Mixed Municipal Waste,100.33456723570569,kg,0.45
2024-05-31,Scope 3,Waste Generated,Scrap Metal & Cardboard,49.854953469889,kg,0.02
2024-06-01,Scope 2,Purchased Electricity,State Grid,619.1485665965706,kWh,0.716
2024-06-01,Scope 1,Mobile Combustion,Delivery Truck (Diesel),45.5267683613119,Liter,2.68
2024-06-01,Scope 1,Mobile Combustion,Company Cars (Petrol),22.523503825784708,Liter,2.31
2024-06-02,Scope 2,Purchased Electricity,State Grid,545.7285274314924,kWh,0.716
2024-06-03,Scope 2,Purchased Electricity,State Grid,534.708427576522,kWh,0.716
2024-06-04,Scope 2,Purchased Electricity,State Grid,564.7231906487509,kWh,0.716
2024-06-05,Scope 2,Purchased Electricity,State Grid,550.1581109749121,kWh,0.716
2024-06-06,Scope 2,Purchased Electricity,State Grid,636.0262404388884,kWh,0.716
2024-06-07,Scope 2,Purchased Electricity,State Grid,617.2247713710203,kWh,0.716
2024-06-07,Scope 3,Waste Generated,Mixed Municipal Waste,81.75002306429039,kg,0.45
2024-06-07,Scope 3,Waste Generated,Scrap Metal & Cardboard,48.24581129248631,kg,0.02
2024-06-08,Scope 2,Purchased Electricity,State Grid,655.282181931091,kWh,0.716
2024-06-08,Scope 1,Mobile Combustion,Delivery Truck (Diesel),40.6392282182773,Liter,2.68
2024-06-08,Scope 1,Mobile Combustion,Company Cars (Petrol),25.684300785930454,Liter,2.31
2024-06-09,Scope 2,Purchased Electricity,State Grid,572.6648947995158,kWh,0.716
2024-06-10,Scope 2,Purchased Electricity,State Grid,604.9636082936147,kWh,0.716
2024-06-11,Scope 2,Purchased Electricity,State Grid,570.7294882809225,kWh,0.716
2024-06-12,Scope 2,Purchased Electricity,State Grid,552.0867168501655,kWh,0.716
2024-06-13,Scope 2,Purchased Electricity,State Grid,581.0495101392878,kWh,0.716
2024-06-13,Scope 1,Stationary Combustion,DG Set (Diesel),8.133397296578263,Liter,2.68
2024-06-14,Scope 2,Purchased Electricity,State Grid,594.8535877130366,kWh,0.716
2024-06-14,Scope 3,Waste Generated,Mixed Municipal Waste,69.40089589032914,kg,0.45
2024-06-14,Scope 3,Waste Generated,Scrap Metal & Cardboard,49.71740849913451,kg,0.02
2024-06-15,Scope 2,Purchased Electricity,State Grid,610.2362503751386,kWh,0.716
2024-06-15,Scope 1,Mobile Combustion,Delivery Truck (Diesel),47.52482629044662,Liter,2.68
2024-06-15,Scope 1,Mobile Combustion,Company Cars (Petrol),28.058739561890558,Liter,2.31
2024-06-16,Scope 2,Purchased Electricity,State Grid,624.4628685272265,kWh,0.716
2024-06-16,Scope 1,Stationary Combustion,DG Set (Diesel),18.86569401434828,Liter,2.68
2024-06-17,Scope 2,Purchased Electricity,State Grid,595.1362289923899,kWh,0.716
2024-06-17,Scope 1,Stationary Combustion,DG Set (Diesel),8.688485398172102,Liter,2.68
2024-06-18,Scope 2,Purchased Electricity,State Grid,610.9552258823335,kWh,0.716
2024-06-19,Scope 2,Purchased Electricity,State Grid,545.2139658406896,kWh,0.716
2024-06-19,Scope 1,Stationary Combustion,DG Set (Diesel),11.116693922013335,Liter,2.68
2024-06-20,Scope 2,Purchased Electricity,State Grid,624.0834621415951,kWh,0.716
2024-06-21,Scope 2,Purchased Electricity,State Grid,581.260687764831,kWh,0.716
2024-06-21,Scope 1,Stationary Combustion,DG Set (Diesel),9.518532700775966,Liter,2.68
2024-06-21,Scope 3,Waste Generated,Mixed Municipal Waste,78.11943357905368,kg,0.45
2024-06-21,Scope 3,Waste Generated,Scrap Metal & Cardboard,51.41954925339075,kg,0.02
2024-06-22,Scope 2,Purchased Electricity,State Grid,594.5884136488758,kWh,0.716
2024-06-22,Scope 1,Mobile Combustion,Delivery Truck (Diesel),40.295199560522036,Liter,2.68
2024-06-22,Scope 1,Mobile Combustion,Company Cars (Petrol),22.82630147304565,Liter,2.31
2024-06-23,Scope 2,Purchased Electricity,State Grid,593.0613440630465,kWh,0.716
2024-06-24,Scope 2,Purchased Electricity,State Grid,564.1690557328807,kWh,0.716
2024-06-25,Scope 2,Purchased Electricity,State Grid,593.6103780849708,kWh,0.716
2024-06-26,Scope 2,Purchased Electricity,State Grid,602.3257137790225,kWh,0.716
2024-06-27,Scope 2,Purchased Electricity,State Grid,668.6658696349768,kWh,0.716
2024-06-27,Scope 1,Stationary Combustion,DG Set (Diesel),17.44495340825128,Liter,2.68
2024-06-28,Scope 2,Purchased Electricity,State Grid,611.5136020469022,kWh,0.716
2024-06-28,Scope 3,Waste Generated,Mixed Municipal Waste,80.62375410661552,kg,0.45
2024-06-28,Scope 3,Waste Generated,Scrap Metal & Cardboard,48.13353368285747,kg,0.02
2024-06-29,Scope 2,Purchased Electricity,State Grid,613.1942583679124,kWh,0.716
